Endpoint ID,Model Name
qwen/qwen3.5-27b,Qwen: Qwen3.5-27B
qwen/qwen3.5-122b-a10b,Qwen: Qwen3.5-122B-A10B
qwen/qwen3.5-flash-02-23,Qwen: Qwen3.5-Flash
liquid/lfm-2-24b-a2b,LiquidAI: LFM2-24B-A2B
google/gemini-3.1-pro-preview-customtools,Google: Gemini 3.1 Pro Preview Custom Tools
openai/gpt-5.3-codex,OpenAI: GPT-5.3-Codex
aion-labs/aion-2.0,AionLabs: Aion-2.0
google/gemini-3.1-pro-preview,Google: Gemini 3.1 Pro Preview
anthropic/claude-sonnet-4.6,Anthropic: Claude Sonnet 4.6
qwen/qwen3.5-plus-02-15,Qwen: Qwen3.5 Plus 2026-02-15
qwen/qwen3.5-397b-a17b,Qwen: Qwen3.5 397B A17B
minimax/minimax-m2.5,MiniMax: MiniMax M2.5
z-ai/glm-5,Z.ai: GLM 5
qwen/qwen3-max-thinking,Qwen: Qwen3 Max Thinking
anthropic/claude-opus-4.6,Anthropic: Claude Opus 4.6
qwen/qwen3-coder-next,Qwen: Qwen3 Coder Next
openrouter/free,Free Models Router
stepfun/step-3.5-flash,StepFun: Step 3.5 Flash
moonshotai/kimi-k2.5,MoonshotAI: Kimi K2.5
upstage/solar-pro-3,Upstage: Solar Pro 3
minimax/minimax-m2-her,MiniMax: MiniMax M2-her
writer/palmyra-x5,Writer: Palmyra X5
liquid/lfm-2.5-1.2b-thinking:free,LiquidAI: LFM2.5-1.2B-Thinking (free)
liquid/lfm-2.5-1.2b-instruct:free,LiquidAI: LFM2.5-1.2B-Instruct (free)
openai/gpt-audio,OpenAI: GPT Audio
openai/gpt-audio-mini,OpenAI: GPT Audio Mini
z-ai/glm-4.7-flash,Z.ai: GLM 4.7 Flash
openai/gpt-5.2-codex,OpenAI: GPT-5.2-Codex
bytedance-seed/seed-1.6-flash,ByteDance Seed: Seed 1.6 Flash
bytedance-seed/seed-1.6,ByteDance Seed: Seed 1.6
minimax/minimax-m2.1,MiniMax: MiniMax M2.1
z-ai/glm-4.7,Z.ai: GLM 4.7
google/gemini-3-flash-preview,Google: Gemini 3 Flash Preview
xiaomi/mimo-v2-flash,Xiaomi: MiMo-V2-Flash
nvidia/nemotron-3-nano-30b-a3b:free,NVIDIA: Nemotron 3 Nano 30B A3B (free)
nvidia/nemotron-3-nano-30b-a3b,NVIDIA: Nemotron 3 Nano 30B A3B
openai/gpt-5.2-chat,OpenAI: GPT-5.2 Chat
openai/gpt-5.2-pro,OpenAI: GPT-5.2 Pro
openai/gpt-5.2,OpenAI: GPT-5.2
mistralai/devstral-2512,Mistral: Devstral 2 2512
relace/relace-search,Relace: Relace Search
z-ai/glm-4.6v,Z.ai: GLM 4.6V
nex-agi/deepseek-v3.1-nex-n1,Nex AGI: DeepSeek V3.1 Nex N1
essentialai/rnj-1-instruct,EssentialAI: Rnj 1 Instruct
openrouter/bodybuilder,Body Builder (beta)
openai/gpt-5.1-codex-max,OpenAI: GPT-5.1-Codex-Max
amazon/nova-2-lite-v1,Amazon: Nova 2 Lite
mistralai/ministral-14b-2512,Mistral: Ministral 3 14B 2512
mistralai/ministral-8b-2512,Mistral: Ministral 3 8B 2512
mistralai/ministral-3b-2512,Mistral: Ministral 3 3B 2512
mistralai/mistral-large-2512,Mistral: Mistral Large 3 2512
arcee-ai/trinity-mini,Arcee AI: Trinity Mini
deepseek/deepseek-v3.2,DeepSeek: DeepSeek V3.2
prime-intellect/intellect-3,Prime Intellect: INTELLECT-3
anthropic/claude-opus-4.5,Anthropic: Claude Opus 4.5
allenai/olmo-3-32b-think,AllenAI: Olmo 3 32B Think
google/gemini-3-pro-image-preview,Google: Nano Banana Pro (Gemini 3 Pro Image Preview)
deepcogito/cogito-v2.1-671b,Deep Cogito: Cogito v2.1 671B
openai/gpt-5.1,OpenAI: GPT-5.1
openai/gpt-5.1-chat,OpenAI: GPT-5.1 Chat
openai/gpt-5.1-codex,OpenAI: GPT-5.1-Codex
openai/gpt-5.1-codex-mini,OpenAI: GPT-5.1-Codex-Mini
moonshotai/kimi-k2-thinking,MoonshotAI: Kimi K2 Thinking
amazon/nova-premier-v1,Amazon: Nova Premier 1.0
perplexity/sonar-pro-search,Perplexity: Sonar Pro Search
mistralai/voxtral-small-24b-2507,Mistral: Voxtral Small 24B 2507
openai/gpt-oss-safeguard-20b,OpenAI: gpt-oss-safeguard-20b
nvidia/nemotron-nano-12b-v2-vl:free,NVIDIA: Nemotron Nano 12B 2 VL (free)
minimax/minimax-m2,MiniMax: MiniMax M2
qwen/qwen3-vl-32b-instruct,Qwen: Qwen3 VL 32B Instruct
ibm-granite/granite-4.0-h-micro,IBM: Granite 4.0 Micro
microsoft/phi-4-mini-instruct,Microsoft: Phi 4 Mini Instruct
openai/gpt-5-image-mini,OpenAI: GPT-5 Image Mini
anthropic/claude-haiku-4.5,Anthropic: Claude Haiku 4.5
qwen/qwen3-vl-8b-thinking,Qwen: Qwen3 VL 8B Thinking
qwen/qwen3-vl-8b-instruct,Qwen: Qwen3 VL 8B Instruct
openai/gpt-5-image,OpenAI: GPT-5 Image
openai/o3-deep-research,OpenAI: o3 Deep Research
openai/o4-mini-deep-research,OpenAI: o4 Mini Deep Research
nvidia/llama-3.3-nemotron-super-49b-v1.5,NVIDIA: Llama 3.3 Nemotron Super 49B V1.5
google/gemini-2.5-flash-image,Google: Nano Banana (Gemini 2.5 Flash Image)
qwen/qwen3-vl-30b-a3b-thinking,Qwen: Qwen3 VL 30B A3B Thinking
qwen/qwen3-vl-30b-a3b-instruct,Qwen: Qwen3 VL 30B A3B Instruct
openai/gpt-5-pro,OpenAI: GPT-5 Pro
z-ai/glm-4.6,Z.ai: GLM 4.6
anthropic/claude-sonnet-4.5,Anthropic: Claude Sonnet 4.5
deepseek/deepseek-v3.2-exp,DeepSeek: DeepSeek V3.2 Exp
thedrummer/cydonia-24b-v4.1,TheDrummer: Cydonia 24B V4.1
relace/relace-apply-3,Relace: Relace Apply 3
google/gemini-2.5-flash-lite-preview-09-2025,Google: Gemini 2.5 Flash Lite Preview 09-2025
qwen/qwen3-vl-235b-a22b-thinking,Qwen: Qwen3 VL 235B A22B Thinking
qwen/qwen3-vl-235b-a22b-instruct,Qwen: Qwen3 VL 235B A22B Instruct
qwen/qwen3-max,Qwen: Qwen3 Max
qwen/qwen3-coder-plus,Qwen: Qwen3 Coder Plus
openai/gpt-5-codex,OpenAI: GPT-5 Codex
deepseek/deepseek-v3.1-terminus,DeepSeek: DeepSeek V3.1 Terminus
qwen/qwen3-coder-flash,Qwen: Qwen3 Coder Flash
qwen/qwen3-next-80b-a3b-thinking,Qwen: Qwen3 Next 80B A3B Thinking
qwen/qwen3-next-80b-a3b-instruct:free,Qwen: Qwen3 Next 80B A3B Instruct (free)
qwen/qwen3-next-80b-a3b-instruct,Qwen: Qwen3 Next 80B A3B Instruct
qwen/qwen-plus-2025-07-28:thinking,Qwen: Qwen Plus 0728 (thinking)
qwen/qwen-plus-2025-07-28,Qwen: Qwen Plus 0728
nvidia/nemotron-nano-9b-v2:free,NVIDIA: Nemotron Nano 9B V2 (free)
nvidia/nemotron-nano-9b-v2,NVIDIA: Nemotron Nano 9B V2
moonshotai/kimi-k2-0905,MoonshotAI: Kimi K2 0905
qwen/qwen3-30b-a3b-thinking-2507,Qwen: Qwen3 30B A3B Thinking 2507
nousresearch/hermes-4-70b,Nous: Hermes 4 70B
nousresearch/hermes-4-405b,Nous: Hermes 4 405B
deepseek/deepseek-chat-v3.1,DeepSeek: DeepSeek V3.1
mistralai/mistral-medium-3.1,Mistral: Mistral Medium 3.1
z-ai/glm-4.5v,Z.ai: GLM 4.5V
ai21/jamba-large-1.7,AI21: Jamba Large 1.7
openai/gpt-5-chat,OpenAI: GPT-5 Chat
openai/gpt-5,OpenAI: GPT-5
openai/gpt-5-mini,OpenAI: GPT-5 Mini
openai/gpt-5-nano,OpenAI: GPT-5 Nano
openai/gpt-oss-120b:free,OpenAI: gpt-oss-120b (free)
openai/gpt-oss-120b,OpenAI: gpt-oss-120b
openai/gpt-oss-20b:free,OpenAI: gpt-oss-20b (free)
openai/gpt-oss-20b,OpenAI: gpt-oss-20b
anthropic/claude-opus-4.1,Anthropic: Claude Opus 4.1
mistralai/codestral-2508,Mistral: Codestral 2508
qwen/qwen3-coder-30b-a3b-instruct,Qwen: Qwen3 Coder 30B A3B Instruct
qwen/qwen3-30b-a3b-instruct-2507,Qwen: Qwen3 30B A3B Instruct 2507
z-ai/glm-4.5,Z.ai: GLM 4.5
z-ai/glm-4.5-air:free,Z.ai: GLM 4.5 Air (free)
z-ai/glm-4.5-air,Z.ai: GLM 4.5 Air
qwen/qwen3-235b-a22b-thinking-2507,Qwen: Qwen3 235B A22B Thinking 2507
z-ai/glm-4-32b,Z.ai: GLM 4 32B 
qwen/qwen3-coder:free,Qwen: Qwen3 Coder 480B A35B (free)
qwen/qwen3-coder,Qwen: Qwen3 Coder 480B A35B
bytedance/ui-tars-1.5-7b,ByteDance: UI-TARS 7B 
google/gemini-2.5-flash-lite,Google: Gemini 2.5 Flash Lite
qwen/qwen3-235b-a22b-2507,Qwen: Qwen3 235B A22B Instruct 2507
switchpoint/router,Switchpoint Router
moonshotai/kimi-k2,MoonshotAI: Kimi K2 0711
cognitivecomputations/dolphin-mistral-24b-venice-edition:free,Venice: Uncensored (free)
tencent/hunyuan-a13b-instruct,Tencent: Hunyuan A13B Instruct
morph/morph-v3-large,Morph: Morph V3 Large
morph/morph-v3-fast,Morph: Morph V3 Fast
baidu/ernie-4.5-vl-424b-a47b,Baidu: ERNIE 4.5 VL 424B A47B 
mistralai/mistral-small-3.2-24b-instruct,Mistral: Mistral Small 3.2 24B
minimax/minimax-m1,MiniMax: MiniMax M1
google/gemini-2.5-flash,Google: Gemini 2.5 Flash
google/gemini-2.5-pro,Google: Gemini 2.5 Pro
openai/o3-pro,OpenAI: o3 Pro
google/gemini-2.5-pro-preview,Google: Gemini 2.5 Pro Preview 06-05
deepseek/deepseek-r1-0528,DeepSeek: R1 0528
anthropic/claude-opus-4,Anthropic: Claude Opus 4
anthropic/claude-sonnet-4,Anthropic: Claude Sonnet 4
google/gemma-3n-e4b-it,Google: Gemma 3n 4B
mistralai/mistral-medium-3,Mistral: Mistral Medium 3
google/gemini-2.5-pro-preview-05-06,Google: Gemini 2.5 Pro Preview 05-06
arcee-ai/maestro-reasoning,Arcee AI: Maestro Reasoning
arcee-ai/virtuoso-large,Arcee AI: Virtuoso Large
arcee-ai/coder-large,Arcee AI: Coder Large
meta-llama/llama-guard-4-12b,Meta: Llama Guard 4 12B
qwen/qwen3-30b-a3b,Qwen: Qwen3 30B A3B
qwen/qwen3-8b,Qwen: Qwen3 8B
qwen/qwen3-14b,Qwen: Qwen3 14B
qwen/qwen3-32b,Qwen: Qwen3 32B
qwen/qwen3-235b-a22b,Qwen: Qwen3 235B A22B
openai/o4-mini-high,OpenAI: o4 Mini High
openai/o3,OpenAI: o3
openai/o4-mini,OpenAI: o4 Mini
openai/gpt-4.1,OpenAI: GPT-4.1
openai/gpt-4.1-mini,OpenAI: GPT-4.1 Mini
openai/gpt-4.1-nano,OpenAI: GPT-4.1 Nano
meta-llama/llama-4-maverick,Meta: Llama 4 Maverick
meta-llama/llama-4-scout,Meta: Llama 4 Scout
deepseek/deepseek-chat-v3-0324,DeepSeek: DeepSeek V3 0324
openai/o1-pro,OpenAI: o1-pro
mistralai/mistral-small-3.1-24b-instruct,Mistral: Mistral Small 3.1 24B
google/gemma-3-4b-it,Google: Gemma 3 4B
google/gemma-3-12b-it,Google: Gemma 3 12B
cohere/command-a,Cohere: Command A
openai/gpt-4o-mini-search-preview,OpenAI: GPT-4o-mini Search Preview
openai/gpt-4o-search-preview,OpenAI: GPT-4o Search Preview
rekaai/reka-flash-3,Reka Flash 3
google/gemma-3-27b-it,Google: Gemma 3 27B
thedrummer/skyfall-36b-v2,TheDrummer: Skyfall 36B V2
perplexity/sonar-reasoning-pro,Perplexity: Sonar Reasoning Pro
perplexity/sonar-pro,Perplexity: Sonar Pro
perplexity/sonar-deep-research,Perplexity: Sonar Deep Research
mistralai/mistral-saba,Mistral: Saba
meta-llama/llama-guard-3-8b,Llama Guard 3 8B
openai/o3-mini-high,OpenAI: o3 Mini High
aion-labs/aion-1.0,AionLabs: Aion-1.0
aion-labs/aion-1.0-mini,AionLabs: Aion-1.0-Mini
aion-labs/aion-rp-llama-3.1-8b,AionLabs: Aion-RP 1.0 (8B)
qwen/qwen2.5-vl-72b-instruct,Qwen: Qwen2.5 VL 72B Instruct
qwen/qwen-plus,Qwen: Qwen-Plus
openai/o3-mini,OpenAI: o3 Mini
mistralai/mistral-small-24b-instruct-2501,Mistral: Mistral Small 3
deepseek/deepseek-r1-distill-qwen-32b,DeepSeek: R1 Distill Qwen 32B
perplexity/sonar,Perplexity: Sonar
deepseek/deepseek-r1-distill-llama-70b,DeepSeek: R1 Distill Llama 70B
deepseek/deepseek-r1,DeepSeek: R1
minimax/minimax-01,MiniMax: MiniMax-01
microsoft/phi-4,Microsoft: Phi 4
sao10k/l3.1-70b-hanami-x1,Sao10K: Llama 3.1 70B Hanami x1
deepseek/deepseek-chat,DeepSeek: DeepSeek V3
sao10k/l3.3-euryale-70b,Sao10K: Llama 3.3 Euryale 70B
openai/o1,OpenAI: o1
cohere/command-r7b-12-2024,Cohere: Command R7B (12-2024)
meta-llama/llama-3.3-70b-instruct:free,Meta: Llama 3.3 70B Instruct (free)
meta-llama/llama-3.3-70b-instruct,Meta: Llama 3.3 70B Instruct
amazon/nova-lite-v1,Amazon: Nova Lite 1.0
amazon/nova-micro-v1,Amazon: Nova Micro 1.0
amazon/nova-pro-v1,Amazon: Nova Pro 1.0
openai/gpt-4o-2024-11-20,OpenAI: GPT-4o (2024-11-20)
mistralai/mistral-large-2407,Mistral Large 2407
qwen/qwen-2.5-coder-32b-instruct,Qwen2.5 Coder 32B Instruct
thedrummer/unslopnemo-12b,TheDrummer: UnslopNemo 12B
anthropic/claude-3.5-haiku,Anthropic: Claude 3.5 Haiku
anthracite-org/magnum-v4-72b,Magnum v4 72B
qwen/qwen-2.5-7b-instruct,Qwen: Qwen2.5 7B Instruct
inflection/inflection-3-productivity,Inflection: Inflection 3 Productivity
inflection/inflection-3-pi,Inflection: Inflection 3 Pi
thedrummer/rocinante-12b,TheDrummer: Rocinante 12B
meta-llama/llama-3.2-3b-instruct:free,Meta: Llama 3.2 3B Instruct (free)
meta-llama/llama-3.2-3b-instruct,Meta: Llama 3.2 3B Instruct
meta-llama/llama-3.2-1b-instruct,Meta: Llama 3.2 1B Instruct
meta-llama/llama-3.2-11b-vision-instruct,Meta: Llama 3.2 11B Vision Instruct
qwen/qwen-2.5-72b-instruct,Qwen2.5 72B Instruct
cohere/command-r-plus-08-2024,Cohere: Command R+ (08-2024)
cohere/command-r-08-2024,Cohere: Command R (08-2024)
sao10k/l3.1-euryale-70b,Sao10K: Llama 3.1 Euryale 70B v2.2
nousresearch/hermes-3-llama-3.1-70b,Nous: Hermes 3 70B Instruct
nousresearch/hermes-3-llama-3.1-405b:free,Nous: Hermes 3 405B Instruct (free)
nousresearch/hermes-3-llama-3.1-405b,Nous: Hermes 3 405B Instruct
sao10k/l3-lunaris-8b,Sao10K: Llama 3 8B Lunaris
openai/gpt-4o-2024-08-06,OpenAI: GPT-4o (2024-08-06)
meta-llama/llama-3.1-8b-instruct,Meta: Llama 3.1 8B Instruct
meta-llama/llama-3.1-70b-instruct,Meta: Llama 3.1 70B Instruct
mistralai/mistral-nemo,Mistral: Mistral Nemo
openai/gpt-4o-mini-2024-07-18,OpenAI: GPT-4o-mini (2024-07-18)
openai/gpt-4o-mini,OpenAI: GPT-4o-mini
google/gemma-2-27b-it,Google: Gemma 2 27B
openai/gpt-4o-2024-05-13,OpenAI: GPT-4o (2024-05-13)
openai/gpt-4o,OpenAI: GPT-4o
meta-llama/llama-3-8b-instruct,Meta: Llama 3 8B Instruct
meta-llama/llama-3-70b-instruct,Meta: Llama 3 70B Instruct
mistralai/mixtral-8x22b-instruct,Mistral: Mixtral 8x22B Instruct
microsoft/wizardlm-2-8x22b,WizardLM-2 8x22B
openai/gpt-4-turbo,OpenAI: GPT-4 Turbo
anthropic/claude-3-haiku,Anthropic: Claude 3 Haiku
mistralai/mistral-large,Mistral Large
openai/gpt-4-turbo-preview,OpenAI: GPT-4 Turbo Preview
openai/gpt-3.5-turbo-0613,OpenAI: GPT-3.5 Turbo (older v0613)
openrouter/auto,Auto Router
openai/gpt-3.5-turbo-instruct,OpenAI: GPT-3.5 Turbo Instruct
openai/gpt-3.5-turbo-16k,OpenAI: GPT-3.5 Turbo 16k
mancer/weaver,Mancer: Weaver (alpha)
undi95/remm-slerp-l2-13b,ReMM SLERP 13B
gryphe/mythomax-l2-13b,MythoMax 13B
openai/gpt-4,OpenAI: GPT-4
openai/gpt-3.5-turbo,OpenAI: GPT-3.5 Turbo
